Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
0,-0.0006,2031.26693,0,29.6658
0.005,-0.0006,2030.48277,0,29.6445
0.01,-0.0005,2034.7445,0,29.5985
0.015,0.0001,2046.80729,0,29.5585
0.02,0.0019,2071.26474,0,29.4977
0.025,0.0062,2114.91442,0,29.3672
0.03,0.0145,2185.95052,0,29.1678
0.035,0.0284,2290.86661,0,28.8651
0.04,0.0492,2436.89585,0,28.4718
0.045,0.0774,2636.10649,0,28.014
0.05,0.1128,2892.97938,0,27.4657
0.055,0.1544,3199.72849,0,26.8332
0.06,0.2011,3535.95686,0,26.1658
0.065,0.2514,3878.63374,0,25.5119
0.07,0.3039,4207.36694,0,24.8742
0.075,0.3575,4511.83748,0,24.2587
0.08,0.4114,4792.52434,0,23.6944
0.085,0.4649,5053.19643,0,23.1739
0.09,0.5179,5304.2326,0,22.6551
0.095,0.57,5549.83854,0,22.1349
0.1,0.6213,5787.22143,0,21.6368
0.105,0.672,6012.30192,0,21.1307
0.11,0.722,6222.51701,0,20.6372
0.115,0.7716,6417.62257,0,20.1871
0.12,0.8208,6599.84732,0,19.7745
0.125,0.8699,6773.91434,0,19.3872
0.13,0.9188,6942.48104,0,19.0357
0.135,0.9677,7105.27086,0,18.7088
0.139,1.0068,7230.16787,0,18.4385
0.14,1.0166,7260.42366,0,18.3693
2.645,5.4363,15287.69875,0,-7.1279
2.65,5.4363,15287.10079,0,-7.1296
2.655,5.4364,15289.82544,0,-7.1451
2.66,5.4369,15296.41342,0,-7.1613
2.665,5.4385,15307.68204,0,-7.1766
2.67,5.4425,15321.27953,0,-7.2067
2.675,5.4503,15337.48436,0,-7.2776
2.68,5.4636,15358.78754,0,-7.3846
2.685,5.4836,15394.46545,0,-7.5822
2.69,5.5111,15460.65998,0,-7.9028
2.695,5.5456,15567.54398,0,-8.3193
2.7,5.5865,15710.51598,0,-8.7964
2.705,5.6325,15876.63746,0,-9.3198
2.71,5.6822,16047.88589,0,-9.8679
2.715,5.7342,16208.58002,0,-10.4019
2.72,5.7875,16352.39983,0,-10.9121
2.725,5.8412,16482.02133,0,-11.3902
2.73,5.8947,16604.57039,0,-11.8227
2.735,5.9476,16726.83334,0,-12.2438
2.74,5.9999,16851.85814,0,-12.6722
2.745,6.0513,16974.50066,0,-13.0761
2.75,6.1021,17086.28845,0,-13.4479
2.755,6.1524,17175.38834,0,-13.7451
2.76,6.2021,17246.08994,0,-13.9773
2.765,6.2515,17308.85124,0,-14.1669
2.77,6.3008,17374.99619,0,-14.3501
2.775,6.3498,17453.21083,0,-14.5793
2.78,6.3989,17542.73224,0,-14.8719
2.784,6.4381,17618.38531,0,-15.1222
2.785,6.4479,17637.89177,0,-15.1863
5.279,10.8685,25272.44186,0,-38.0246
5.284,10.8685,25269.33098,0,-38.0172
5.289,10.8686,25270.21217,0,-38.0163
5.294,10.8691,25276.55029,0,-38.0037
5.299,10.8708,25288.73825,0,-38.008
5.304,10.8747,25304.44908,0,-38.0482
5.309,10.8826,25323.39478,0,-38.116
5.314,10.8961,25348.15979,0,-38.1999
5.319,10.9164,25388.73482,0,-38.348
5.324,10.9441,25459.91135,0,-38.5918
5.329,10.979,25572.6223,0,-38.933
5.334,11.0202,25725.32082,0,-39.3646
5.339,11.0664,25904.2263,0,-39.8347
5.344,11.1163,26091.26663,0,-40.3193
5.349,11.1685,26270.1664,0,-40.8023
5.354,11.2219,26433.6586,0,-41.2739
5.359,11.2757,26583.39119,0,-41.7188
5.364,11.3292,26725.82054,0,-42.1258
5.369,11.3821,26870.24879,0,-42.5367
5.374,11.4343,27021.09337,0,-42.9594
5.379,11.4858,27174.99733,0,-43.3609
5.384,11.5365,27325.8934,0,-43.7548
5.389,11.5867,27470.70503,0,-44.1422
5.394,11.6364,27608.56247,0,-44.5238
5.399,11.6858,27741.91856,0,-44.858
5.404,11.7349,27874.96758,0,-45.18
5.409,11.7839,28009.06372,0,-45.5226
5.414,11.8328,28142.9615,0,-45.8839
5.418,11.872,28249.23134,0,-46.1736
5.419,11.8818,28275.48599,0,-46.2414
7.922,16.3012,35496.33408,0,-61.4367
7.927,16.3012,35492.58804,0,-61.4028
7.932,16.3013,35490.78369,0,-61.3832
7.937,16.3019,35494.03,0,-61.3648
7.942,16.3035,35502.62833,0,-61.361
7.947,16.3075,35515.65552,0,-61.3986
7.952,16.3154,35534.47723,0,-61.4525
7.957,16.3288,35563.86185,0,-61.5252
7.962,16.3491,35612.84637,0,-61.6386
7.967,16.3768,35697.48306,0,-61.8565
7.972,16.4116,35826.08414,0,-62.1853
7.977,16.4528,35994.9379,0,-62.5809
7.982,16.499,36191.26129,0,-63.0102
7.987,16.5488,36396.07239,0,-63.4551
7.992,16.601,36591.50696,0,-63.8891
7.997,16.6544,36770.49255,0,-64.2806
8.002,16.7082,36936.95068,0,-64.6413
8.007,16.7617,37098.36578,0,-64.9871
8.012,16.8146,37262.42828,0,-65.3257
8.017,16.8668,37432.4646,0,-65.6734
8.022,16.9183,37603.33633,0,-66.0409
8.027,16.9691,37768.77975,0,-66.4101
8.032,17.0193,37927.42157,0,-66.7678
8.037,17.069,38077.39258,0,-67.1046
8.042,17.1184,38221.27533,0,-67.4279
8.047,17.1676,38363.75427,0,-67.7154
8.052,17.2167,38508.40378,0,-67.9992
8.057,17.2657,38655.00641,0,-68.3062
8.061,17.3049,38772.07947,0,-68.5391
8.062,17.3147,38801.16272,0,-68.6011
