Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"0.0000","0.0000","96.90329","0.0000","-0.2728"
"0.0050","0.0000","96.61647","0.0000","-0.2796"
"0.0100","0.0001","101.35840","0.0000","-0.3037"
"0.0150","0.0008","113.68784","0.0000","-0.3228"
"0.0200","0.0031","126.81530","0.0000","-0.3249"
"0.0250","0.0085","134.73247","0.0000","-0.3403"
"0.0300","0.0190","137.73260","0.0000","-0.3894"
"0.0350","0.0359","143.57898","0.0000","-0.4872"
"0.0400","0.0602","164.31256","0.0000","-0.6397"
"0.0450","0.0920","214.54453","0.0000","-0.8745"
"0.0500","0.1307","301.17559","0.0000","-1.2103"
"0.0550","0.1750","415.12528","0.0000","-1.6078"
"0.0600","0.2235","538.39904","0.0000","-2.0121"
"0.0650","0.2749","652.57949","0.0000","-2.4076"
"0.0700","0.3279","749.93777","0.0000","-2.7804"
"0.0750","0.3816","832.38316","0.0000","-3.1227"
"0.0800","0.4352","908.17946","0.0000","-3.4582"
"0.0850","0.4884","985.67760","0.0000","-3.7782"
"0.0900","0.5409","1071.12288","0.0000","-4.1203"
"0.0950","0.5926","1165.55607","0.0000","-4.4955"
"0.1000","0.6436","1261.82449","0.0000","-4.8885"
"0.1050","0.6940","1355.34406","0.0000","-5.2625"
"0.1100","0.7439","1442.56425","0.0000","-5.6195"
"0.1150","0.7934","1524.68300","0.0000","-5.9323"
"0.1200","0.8426","1606.15575","0.0000","-6.2311"
"0.1250","0.8917","1690.43970","0.0000","-6.5333"
"0.1300","0.9407","1777.42100","0.0000","-6.8468"
"0.1350","0.9897","1865.68666","0.0000","-7.1810"
"0.1370","1.0092","1900.41065","0.0000","-7.3165"
"0.1380","1.0190","1917.54961","0.0000","-7.3841"
"2.6310","5.4388","8133.42762","0.0000","-28.4860"
"2.6360","5.4388","8134.26113","0.0000","-28.4925"
"2.6410","5.4389","8136.21235","0.0000","-28.4953"
"2.6460","5.4394","8141.26205","0.0000","-28.5018"
"2.6510","5.4410","8149.61815","0.0000","-28.5095"
"2.6560","5.4449","8157.58419","0.0000","-28.5249"
"2.6610","5.4527","8164.52885","0.0000","-28.5421"
"2.6660","5.4659","8171.97895","0.0000","-28.5764"
"2.6710","5.4860","8188.37738","0.0000","-28.6443"
"2.6760","5.5134","8228.09887","0.0000","-28.7725"
"2.6810","5.5482","8298.70415","0.0000","-28.9873"
"2.6860","5.5893","8400.42210","0.0000","-29.2532"
"2.6910","5.6356","8524.22237","0.0000","-29.5591"
"2.6960","5.6856","8653.77235","0.0000","-29.8833"
"2.7010","5.7381","8773.81611","0.0000","-30.2051"
"2.7060","5.7917","8879.58908","0.0000","-30.5384"
"2.7110","5.8456","8973.18172","0.0000","-30.8623"
"2.7160","5.8993","9063.35449","0.0000","-31.1906"
"2.7210","5.9523","9156.76308","0.0000","-31.5138"
"2.7260","6.0045","9255.45979","0.0000","-31.8535"
"2.7310","6.0560","9358.50048","0.0000","-32.1897"
"2.7360","6.1067","9460.69050","0.0000","-32.5092"
"2.7410","6.1568","9558.80165","0.0000","-32.8161"
"2.7460","6.2065","9652.00043","0.0000","-33.1195"
"2.7510","6.2559","9742.62524","0.0000","-33.3929"
"2.7560","6.3050","9834.61285","0.0000","-33.6545"
"2.7610","6.3540","9929.68369","0.0000","-33.9113"
"2.7660","6.4028","10024.55235","0.0000","-34.1781"
"2.7700","6.4418","10098.53554","0.0000","-34.3958"
"2.7710","6.4516","10116.73546","0.0000","-34.4532"
"5.2610","10.8692","15343.49155","0.0000","-46.2696"
"5.2660","10.8692","15337.91256","0.0000","-46.2578"
"5.2710","10.8693","15337.78381","0.0000","-46.2668"
"5.2760","10.8698","15343.19401","0.0000","-46.2863"
"5.2810","10.8714","15353.35922","0.0000","-46.2920"
"5.2860","10.8754","15364.05182","0.0000","-46.3011"
"5.2910","10.8834","15371.79089","0.0000","-46.3133"
