Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"0.0000","0.0000","0.11443","0.0000","0.0212"
"0.0050","0.0000","2.81542","0.0000","0.0298"
"0.0100","0.0001","9.60446","0.0000","0.0211"
"0.0150","0.0007","19.06169","0.0000","0.0031"
"0.0200","0.0027","28.75085","0.0000","-0.0276"
"0.0250","0.0074","37.45440","0.0000","-0.0856"
"0.0300","0.0164","44.31867","0.0000","-0.1679"
"0.0350","0.0313","56.70137","0.0000","-0.2826"
"0.0400","0.0532","80.63269","0.0000","-0.4463"
"0.0450","0.0826","128.26578","0.0000","-0.6808"
"0.0500","0.1191","206.24551","0.0000","-0.9847"
"0.0550","0.1617","312.50712","0.0000","-1.3489"
"0.0600","0.2091","433.61330","0.0000","-1.7204"
"0.0650","0.2598","551.68557","0.0000","-2.0945"
"0.0700","0.3126","653.71257","0.0000","-2.4544"
"0.0750","0.3663","737.88190","0.0000","-2.7832"
"0.0800","0.4202","809.97401","0.0000","-3.0941"
"0.0850","0.4737","878.21460","0.0000","-3.3892"
"0.0900","0.5265","952.63767","0.0000","-3.6832"
"0.0950","0.5785","1036.36754","0.0000","-3.9765"
"0.1000","0.6298","1123.27623","0.0000","-4.2674"
"0.1050","0.6803","1209.54192","0.0000","-4.5604"
"0.1100","0.7304","1290.74442","0.0000","-4.8515"
"0.1150","0.7799","1362.33294","0.0000","-5.1290"
"0.1200","0.8292","1429.30794","0.0000","-5.3975"
"0.1250","0.8782","1497.97118","0.0000","-5.6676"
"0.1300","0.9271","1571.25866","0.0000","-5.9374"
"0.1350","0.9759","1649.03796","0.0000","-6.2236"
"0.1380","1.0052","1695.49489","0.0000","-6.4053"
"0.1390","1.0150","1710.89363","0.0000","-6.4666"
"2.6420","5.4340","7085.51931","0.0000","-24.1066"
"2.6470","5.4340","7082.18288","0.0000","-24.1094"
"2.6520","5.4341","7082.87716","0.0000","-24.1247"
"2.6570","5.4346","7088.68551","0.0000","-24.1480"
"2.6620","5.4363","7098.39392","0.0000","-24.1832"
"2.6670","5.4402","7108.07562","0.0000","-24.2197"
"2.6720","5.4480","7116.10126","0.0000","-24.2493"
"2.6770","5.4613","7124.55034","0.0000","-24.2847"
"2.6820","5.4814","7137.45689","0.0000","-24.3451"
"2.6870","5.5089","7168.05220","0.0000","-24.4595"
"2.6920","5.5435","7228.65057","0.0000","-24.6615"
"2.6970","5.5846","7318.59398","0.0000","-24.9138"
"2.7020","5.6308","7428.35999","0.0000","-25.1863"
"2.7070","5.6808","7542.85097","0.0000","-25.4517"
"2.7120","5.7332","7647.30215","0.0000","-25.7199"
"2.7170","5.7868","7737.73289","0.0000","-25.9762"
"2.7220","5.8408","7818.58826","0.0000","-26.2191"
"2.7270","5.8944","7895.39146","0.0000","-26.4502"
"2.7320","5.9474","7974.13778","0.0000","-26.6910"
"2.7370","5.9996","8058.25615","0.0000","-26.9515"
"2.7420","6.0510","8145.87498","0.0000","-27.2211"
"2.7470","6.1017","8233.96778","0.0000","-27.4870"
"2.7520","6.1519","8319.27109","0.0000","-27.7470"
"2.7570","6.2015","8399.74213","0.0000","-27.9869"
"2.7620","6.2509","8477.10609","0.0000","-28.2163"
"2.7670","6.3000","8554.86393","0.0000","-28.4319"
"2.7720","6.3490","8635.47325","0.0000","-28.6415"
"2.7770","6.3980","8717.66758","0.0000","-28.8738"
"2.7810","6.4372","8783.23460","0.0000","-29.0703"
"2.7820","6.4470","8799.34025","0.0000","-29.1195"
"5.2740","10.8659","12734.83658","0.0000","-36.9814"
"5.2790","10.8659","12729.82311","0.0000","-36.9654"
"5.2840","10.8660","12728.59764","0.0000","-36.9530"
"5.2890","10.8666","12732.51724","0.0000","-36.9356"
"5.2940","10.8682","12740.41653","0.0000","-36.9017"
"5.2990","10.8723","12748.81744","0.0000","-36.8851"
"5.3040","10.8803","12756.51455","0.0000","-36.8940"
"5.3090","10.8938","12763.69286","0.0000","-36.9382"
"5.3140","10.9142","12776.09158","0.0000","-37.0095"
"5.3190","10.9419","12809.69143","0.0000","-37.1391"
"5.3240","10.9768","12874.46499","0.0000","-37.3296"
"5.3290","11.0180","12970.76988","0.0000","-37.5625"
"5.3340","11.0641","13087.98218","0.0000","-37.8005"
"5.3390","11.1139","13209.34105","0.0000","-38.0468"
"5.3440","11.1661","13319.06796","0.0000","-38.2724"
"5.3490","11.2194","13411.42941","0.0000","-38.4795"
"5.3540","11.2731","13491.47034","0.0000","-38.6862"
"5.3590","11.3266","13566.90693","0.0000","-38.8790"
"5.3640","11.3795","13645.17212","0.0000","-39.0688"
"5.3690","11.4318","13730.90839","0.0000","-39.2577"
"5.3740","11.4832","13820.86658","0.0000","-39.4542"
"5.3790","11.5340","13910.32887","0.0000","-39.6438"
"5.3840","11.5842","13993.59035","0.0000","-39.8090"
"5.3890","11.6340","14068.96496","0.0000","-39.9671"
"5.3940","11.6835","14141.75034","0.0000","-40.1101"
"5.3990","11.7327","14217.12494","0.0000","-40.2171"
"5.4040","11.7818","14297.63126","0.0000","-40.3388"
"5.4090","11.8308","14381.36864","0.0000","-40.4992"
"5.4130","11.8700","14447.35813","0.0000","-40.6371"
"5.4140","11.8797","14463.34553","0.0000","-40.6710"
"7.9340","16.2991","16481.39572","0.0000","-40.1593"
"7.9390","16.2991","16480.17502","0.0000","-40.1550"
"7.9440","16.2991","16480.78156","0.0000","-40.1685"
"7.9490","16.2997","16483.53958","0.0000","-40.1621"
"7.9540","16.3013","16488.78479","0.0000","-40.1512"
"7.9590","16.3053","16495.52917","0.0000","-40.1558"
"7.9640","16.3131","16502.84767","0.0000","-40.1663"
"7.9690","16.3265","16511.79314","0.0000","-40.1768"
"7.9740","16.3467","16529.91867","0.0000","-40.2185"
"7.9790","16.3743","16572.26181","0.0000","-40.3084"
"7.9840","16.4091","16648.55957","0.0000","-40.4658"
"7.9890","16.4502","16757.37572","0.0000","-40.6860"
"7.9940","16.4964","16886.57570","0.0000","-40.9299"
"7.9990","16.5463","17018.10455","0.0000","-41.1882"
"8.0040","16.5985","17137.89749","0.0000","-41.4496"
"8.0090","16.6520","17240.25154","0.0000","-41.6795"
"8.0140","16.7058","17330.30319","0.0000","-41.8745"
"8.0190","16.7594","17416.07285","0.0000","-42.0464"
"8.0240","16.8125","17505.67627","0.0000","-42.1951"
"8.0290","16.8647","17602.43797","0.0000","-42.3656"
"8.0340","16.9162","17701.15852","0.0000","-42.5484"
"8.0390","16.9670","17796.50116","0.0000","-42.7316"
"8.0440","17.0173","17884.71413","0.0000","-42.9246"
"8.0490","17.0670","17963.75847","0.0000","-43.1094"
"8.0540","17.1164","18036.85760","0.0000","-43.2725"
"8.0590","17.1655","18110.07500","0.0000","-43.4223"
