rotation in degrees,displacement in mm,Force in Newtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
-0,0,0,0,1694.68690540395,0,0
-0,5.434,7.64844661259259,1718.96246231477,1693.93873224044,0.0253790677689336,-25.7845592592593
-0,10.8659,13.306621092963,1752.64685646241,1706.29400589584,0.103465564195716,-38.2417074074074
-0,16.2991,17.1203630233333,1935.81748982155,1862.43478973238,0.257135276776774,-41.4177703703704
-0,21.7338,18.9208293496296,1973.9925338393,1903.75553002953,0.466215644277679,-36.3746851851852
-0,27.1652,19.9704410422222,2040.25054115352,1961.39954173486,0.752799496043784,-27.2100296296296
-0,32.6003,24.0668300340741,3352.24654082826,3253.86838653258,1.78134955198734,-24.8750370370371
9.8343,0.0006,-6.00376528296296,1723.50005743471,1718.64725055199,3.10230010338248e-10,27.2461888888889
9.8343,5.4312,0.752090197407409,1652.49676202576,1624.65092319458,0.0243726197480257,-0.378370370370375
9.8343,10.8637,6.02038853185185,1621.30038800084,1576.47457682647,0.0956729178103239,-15.5171
9.8343,16.2978,9.91886410962963,1737.79400858283,1680.92156669944,0.2307949319825,-22.0798629629629
9.8343,21.7328,12.9914179544445,1848.12424404959,1784.84730512737,0.436448027695194,-22.8675851851852
9.8343,27.1655,16.0038943477778,1973.69272730999,1910.32333951358,0.72825747502509,-20.3249851851852
9.8343,32.6012,20.7093095425927,2987.32612777716,2914.87161911008,1.58752222412722,-19.7976185185186
19.5192,0.0006,-8.90920465925926,2108.10345915386,2078.92530221802,3.79458622647694e-10,43.9308185185185
19.5192,5.4313,-1.60455718925926,1822.91858816664,1798.67967435253,0.0268871556627974,10.4395555555556
19.5192,10.8636,4.38983702666666,1789.54362500606,1751.23027953702,0.105599005251688,-9.90367037037035
19.5192,16.298,8.73633137481482,1761.23424850383,1709.9848094354,0.233913751028458,-18.800662962963
19.5192,21.7333,12.1448748548148,1851.53931093407,1787.89008092738,0.43727464046106,-21.2280259259259
19.5192,27.1655,15.3489916762963,1972.65424412511,1909.86076570681,0.727874293219932,-19.8952703703704
19.5192,32.601,19.3899875218518,2594.40492949109,2527.57146759916,1.37869947033088,-17.9559592592592
29.1798,0.0006,-12.2949965792593,2800.61453318256,2757.71056338028,5.0411061597286e-10,62.8454851851852
29.1798,5.4313,-4.14862178,1973.00074438954,1938.44933887007,0.0291007939035658,23.3862777777778
29.1798,10.8636,2.71222841444445,2067.48423443832,2030.35898023802,0.121999975568908,-3.36791481481483
29.1798,16.298,7.8533858725926,1869.57472384097,1824.77116329874,0.248302709791805,-16.3725333333333
29.1798,21.733,11.6830158596296,1924.39464298771,1868.45820030615,0.454468203554968,-20.7132296296296
29.1798,27.1658,15.1174319581482,2016.1772247969,1950.80118878831,0.743949929396039,-20.371237037037
29.1798,32.601,18.8071544777778,2266.98680876508,2196.97471867147,1.20470535534505,-17.676637037037
38.9394,0.0006,-14.7481052262963,2479.28466567156,2468.23723985705,4.46271239820882e-10,73.2698148148148
38.9394,5.432,-6.7865034737037,1718.95832577264,1695.84368582041,0.0253603284951214,37.9414777777777
38.9394,10.8646,0.400143741111095,2360.0846560628,2316.6798580786,0.139291645509866,6.37504074074078
38.9394,16.2987,6.77078999481482,2194.48499989055,2137.2958938517,0.291479860527653,-13.1610555555556
38.9394,21.7345,11.2183346922222,2085.90809511601,2033.93414607479,0.492679487926053,-20.2746555555555
38.9394,27.1671,15.0200535807408,2171.82990382605,2107.22529424586,0.801460966284201,-21.3121777777778
38.9394,32.6029,18.8754167911111,2373.00680236802,2305.00520856081,1.26119270868391,-18.9755185185185
48.5946,0.0006,-14.3021027940741,1974.58715986544,1968.96619733109,3.55425688775779e-10,66.3106259259259
48.5946,5.4322,-8.46213678074074,1304.9479115817,1269.2114041808,0.0192537214048233,46.5256962962963
48.5946,10.8643,-2.92966265629631,2447.80370460294,2403.78855895196,0.144460825067037,21.1026666666667
48.5946,16.2983,4.95432712407408,2589.7319640826,2525.94149377594,0.343961185037992,-6.99507777777778
48.5946,21.734,10.5594246837037,2294.01966201532,2232.32459822893,0.541809312973196,-19.1942407407407
48.5946,27.1659,14.8764877674074,2354.64914933049,2292.63014609681,0.868849198146137,-22.4037296296296
48.5946,32.6016,19.0726564196296,2528.80202175308,2442.42075141982,1.34388672386947,-20.9074481481482
58.374,0.0006,-13.695302787037,2213.01132024908,2144.33840092456,3.98342037644835e-10,56.2657555555556
58.374,5.4322,-8.66182821814815,973.322537713168,919.64621518296,0.0143607885125856,45.085237037037
58.374,10.8647,-5.76580552740741,1554.17044898399,1535.89435835879,0.0917284656763655,33.615362962963
58.374,16.2993,1.72643442518518,2916.26913535585,2859.82949011901,0.38737849937,4.91232962962965
58.374,21.7351,9.36548130629627,2725.42014154403,2648.34388457755,0.643764094857477,-16.4323074074074
58.374,27.1673,14.5339072196296,2589.61398794048,2520.23251580554,0.955648084677681,-22.8286592592593
58.374,32.6029,19.23907711,2730.70037302015,2655.34181321682,1.45129773611131,-23.0300259259259
68.1498,0.0006,-13.9307656462963,3520.35463649265,3378.48721235683,6.33663834568677e-10,46.8728148148148
68.1498,5.4315,-8.16985787333333,694.93694637636,686.629348776223,0.0102507342283385,39.7831740740741
68.1498,10.8641,-6.25172177074074,789.029037410775,774.034916994321,0.0465640234690147,34.8954888888889
68.1498,16.2986,-2.07890516962965,2430.77654625194,2409.58192836864,0.322861042348215,19.3306518518519
68.1498,21.7341,6.99240294259261,3189.3617898732,3124.25103267403,0.75328117297124,-9.42185555555559
68.1498,27.1666,13.8868880796296,2894.96646427379,2814.43410379415,1.06827759008509,-22.7024629629629
68.1498,32.6024,19.2551453207408,2975.06817540312,2891.31552157293,1.58112450494795,-24.9842592592593
77.7996,0.0006,-13.7983406918519,4116.03894044021,3998.7753493748,7.40887009279237e-10,38.7979222222222
77.7996,5.432,-7.35781507037037,625.394520419516,601.604860200962,0.00922664048283949,34.2710333333333
77.7996,10.865,-5.87431045925926,509.133550459752,494.373046704496,0.0300511559598608,32.1213777777778
77.7996,16.2997,-3.91163027703703,1377.94945567898,1358.60809778457,0.183046957328844,25.7962555555555
77.7996,21.7357,3.24098964925924,3264.43036616953,3205.59511582168,0.771124809365082,2.793525925926
77.7996,27.1685,12.5442303911111,3375.20721367719,3294.39392981692,1.24566644946747,-20.2512777777778
77.7996,32.6041,19.0616117396297,3235.63315752811,3138.00911572053,1.71978324917062,-26.7116555555556
87.5547,0.0006,-13.4089360407407,3510.77217287126,3467.00346747925,6.31938991116828e-10,33.0962962962963
87.5547,5.4319,-6.67745899185185,636.893234096911,607.507316806815,0.00939593863610046,30.3941814814815
87.5547,10.865,-5.38386048222222,402.974013156139,388.487516368398,0.0237851834871044,29.2523111111111
87.5547,16.2993,-4.20435429555556,824.967213691985,817.780927947598,0.10958335682912,26.3444666666667
87.5547,21.7353,-0.193410325555556,2391.76272562634,2371.98172477866,0.564962179276358,14.1822185185185
87.5547,27.1677,9.86318976814812,3808.31879023559,3725.36748419446,1.40542943691805,-13.3607999999999
87.5547,32.6034,18.5172583977778,3684.03121289258,3571.76018558953,1.9580288652202,-27.5380703703704
98.2143,0.0006,-12.3692741755556,2949.72633104617,2921.6354313334,5.30950739588311e-10,29.0489444444444
98.2143,5.4318,-6.04177748703704,614.405582838397,576.452173438182,0.00906384978021963,27.9696851851852
98.2143,10.8649,-4.91737120222222,338.469910670613,327.999039930177,0.0199775183394216,27.1011703703704
98.2143,16.2997,-4.07441811148149,553.856246115788,546.616757641923,0.0735743246831318,25.5466111111111
98.2143,21.7354,-1.89787758185186,1402.00922108743,1384.10753005464,0.331173934973322,19.8942666666667
98.2143,27.1677,5.69030124185191,3691.11636606697,3638.52634332425,1.36217682439332,-1.26575925925935
98.2143,32.6035,17.0964531718519,4257.13945337315,4149.94478427088,2.26264452842003,-25.9090185185185
107.9496,0.0006,-11.5533360374074,2637.64995535864,2610.21973310917,4.74776991964554e-10,26.9020111111111
107.9496,5.4315,-5.62315713111111,589.559801134479,553.192114185716,0.00869635851807002,26.7271814814815
107.9496,10.8647,-4.57827682888889,293.078209914776,282.511176598995,0.0172977259580717,26.0411037037037
107.9496,16.2995,-3.83500152185185,450.614139600341,437.241919633107,0.0598581629262963,24.8220148148148
107.9496,21.735,-2.36129863555556,936.85093936138,911.808838632141,0.221288981527585,21.4160407407407
107.9496,27.1678,2.38585728148147,2763.63047649041,2744.21330935252,1.01990312046812,8.73837037037041
107.9496,32.6036,14.5365200033334,4735.82450893518,4634.73947569633,2.51707825461049,-20.4829703703704
118.6092,0.0006,-10.5926406648148,2235.43503956021,2219.84958495324,4.02378307120838e-10,26.0776814814815
118.6092,5.4318,-5.27264271851852,541.516151188438,503.054590217749,0.00798856843920586,26.2717
