Time,Displacement,Force,Rotation
"0.0000","0.0000","-0.0055","0.0000"
"0.0200","0.0000","-0.0093","0.0000"
"0.0400","0.0000","-0.0077","0.0000"
"0.0600","0.0000","-0.0092","-0.0048"
"0.0800","0.0000","0.0010","-0.0628"
"0.1000","0.0000","-0.0023","-0.1671"
"0.1200","0.0000","-0.0036","-0.2760"
"0.1400","0.0001","-0.1063","-0.3794"
"0.1600","0.0001","-0.3416","-0.4799"
"0.1800","0.0002","-0.6081","-0.5795"
"0.2000","0.0002","-0.8828","-0.6792"
"0.2200","0.0003","-1.1352","-0.7794"
"0.2400","0.0004","-1.3970","-0.8799"
"0.2600","0.0006","-1.6382","-0.9796"
"0.2800","0.0008","-1.8878","-1.0795"
"0.3000","0.0010","-2.1311","-1.1795"
"0.3200","0.0012","-2.3704","-1.2794"
"0.3400","0.0016","-2.6170","-1.3793"
"0.3600","0.0020","-2.8507","-1.4787"
"0.3800","0.0024","-3.0950","-1.5788"
"0.4000","0.0030","-3.3219","-1.6789"
"0.4200","0.0038","-3.5474","-1.7791"
"0.4400","0.0047","-3.7712","-1.8793"
"0.4600","0.0060","-3.9777","-1.9789"
"0.4800","0.0076","-4.1905","-2.0788"
"0.5000","0.0098","-4.3873","-2.1790"
"0.5200","0.0125","-4.5794","-2.2790"
"0.5400","0.0158","-4.7570","-2.3788"
"0.5600","0.0197","-4.9246","-2.4788"
"0.5800","0.0239","-5.0944","-2.5792"
"0.6000","0.0278","-5.2530","-2.6798"
"0.6200","0.0310","-5.4183","-2.7796"
"0.6400","0.0338","-5.5597","-2.8793"
"0.6600","0.0366","-5.7002","-2.9791"
"0.6800","0.0397","-5.8178","-3.0790"
"0.7000","0.0427","-5.9290","-3.1790"
"0.7200","0.0458","-6.0221","-3.2785"
"0.7400","0.0490","-6.0932","-3.3787"
"0.7600","0.0523","-6.1435","-3.4790"
"0.7800","0.0557","-6.1686","-3.5790"
"0.8000","0.0590","-6.1814","-3.6789"
"0.8200","0.0622","-6.1836","-3.7788"
"0.8400","0.0653","-6.1729","-3.8787"
"0.8600","0.0687","-6.1464","-3.9787"
"0.8800","0.0725","-6.1298","-4.0787"
"0.9000","0.0765","-6.1817","-4.1786"
"0.9200","0.0801","-6.2758","-4.2788"
"0.9400","0.0834","-6.3976","-4.3790"
"0.9600","0.0865","-6.5230","-4.4792"
"0.9800","0.0900","-6.6428","-4.5791"
"1.0000","0.0938","-6.7709","-4.6790"
"1.0200","0.0980","-6.8924","-4.7787"
"1.0400","0.1023","-7.0262","-4.8787"
"1.0600","0.1070","-7.1464","-4.9785"
"1.0800","0.1118","-7.2708","-5.0784"
"1.1000","0.1163","-7.3959","-5.1786"
"1.1200","0.1207","-7.5238","-5.2786"
"1.1400","0.1254","-7.6562","-5.3787"
"1.1600","0.1304","-7.7812","-5.4786"
"1.1800","0.1350","-7.9217","-5.5783"
"1.2000","0.1392","-8.0643","-5.6784"
"1.2200","0.1435","-8.2072","-5.7785"
"1.2400","0.1481","-8.3509","-5.8786"
"1.2600","0.1530","-8.4896","-5.9786"
"1.2800","0.1585","-8.6324","-6.0786"
"1.3000","0.1639","-8.7708","-6.1791"
"1.3200","0.1690","-8.9170","-6.2791"
"1.3400","0.1742","-9.0587","-6.3788"
"1.3600","0.1800","-9.1958","-6.4786"
"1.3800","0.1858","-9.3408","-6.5784"
"1.4000","0.1908","-9.4862","-6.6786"
"1.4200","0.1958","-9.6418","-6.7784"
"1.4400","0.2009","-9.7818","-6.8781"
"1.4600","0.2063","-9.9329","-6.9782"
"1.4800","0.2120","-10.0746","-7.0782"
"1.5000","0.2178","-10.2186","-7.1785"
"1.5200","0.2236","-10.3640","-7.2785"
"1.5400","0.2299","-10.4986","-7.3780"
"1.5600","0.2364","-10.6420","-7.4781"
"1.5800","0.2423","-10.7808","-7.5784"
"1.6000","0.2482","-10.9327","-7.6784"
"1.6200","0.2545","-11.0739","-7.7785"
"1.6400","0.2613","-11.2118","-7.8784"
"1.6600","0.2684","-11.3467","-7.9787"
"1.6800","0.2756","-11.4803","-8.0790"
"1.7000","0.2828","-11.6164","-8.1787"
"1.7200","0.2899","-11.7436","-8.2786"
"1.7400","0.2961","-11.8883","-8.3787"
"1.7600","0.3022","-12.0292","-8.4785"
