Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"0.0000","-0.0006","35.34690","0.0000","19.7344"
"0.0050","-0.0006","37.93805","0.0000","19.7255"
"0.0100","-0.0005","42.39535","0.0000","19.7276"
"0.0150","0.0000","51.22199","0.0000","19.7140"
"0.0200","0.0018","65.23628","0.0000","19.6914"
"0.0250","0.0061","82.98992","0.0000","19.6383"
"0.0300","0.0144","106.11343","0.0000","19.5437"
"0.0350","0.0284","141.12221","0.0000","19.3905"
"0.0400","0.0492","195.11257","0.0000","19.1410"
"0.0450","0.0774","280.52491","0.0000","18.7756"
"0.0500","0.1128","405.05481","0.0000","18.3064"
"0.0550","0.1544","561.93602","0.0000","17.7910"
"0.0600","0.2011","733.83892","0.0000","17.2605"
"0.0650","0.2515","903.32288","0.0000","16.7165"
"0.0700","0.3041","1058.40147","0.0000","16.1923"
"0.0750","0.3578","1192.15548","0.0000","15.7257"
"0.0800","0.4118","1307.52039","0.0000","15.3155"
"0.0850","0.4655","1412.54091","0.0000","14.9316"
"0.0900","0.5185","1514.95481","0.0000","14.5679"
"0.0950","0.5707","1621.87886","0.0000","14.1986"
"0.1000","0.6221","1729.92897","0.0000","13.8241"
"0.1050","0.6728","1834.08880","0.0000","13.4773"
"0.1100","0.7228","1929.12376","0.0000","13.1754"
"0.1150","0.7724","2015.60521","0.0000","12.9075"
"0.1200","0.8217","2097.04494","0.0000","12.6552"
"0.1250","0.8708","2179.24595","0.0000","12.4192"
"0.1300","0.9197","2265.71298","0.0000","12.1753"
"0.1350","0.9686","2355.42750","0.0000","11.9027"
"0.1390","1.0077","2426.77140","0.0000","11.6702"
"0.1400","1.0175","2444.46015","0.0000","11.6110"
"2.6450","5.4372","7087.47911","0.0000","-4.5607"
"2.6500","5.4372","7087.18109","0.0000","-4.5480"
"2.6550","5.4372","7091.26377","0.0000","-4.5332"
"2.6600","5.4378","7099.15400","0.0000","-4.5152"
"2.6650","5.4394","7109.57479","0.0000","-4.5079"
"2.6700","5.4433","7119.96508","0.0000","-4.5253"
"2.6750","5.4511","7128.42512","0.0000","-4.5629"
"2.6800","5.4644","7136.78455","0.0000","-4.6155"
"2.6850","5.4845","7151.19314","0.0000","-4.6921"
"2.6900","5.5120","7189.36586","0.0000","-4.8617"
"2.6950","5.5467","7261.40928","0.0000","-5.1391"
"2.7000","5.5878","7367.91563","0.0000","-5.5023"
"2.7050","5.6339","7497.64013","0.0000","-5.8943"
"2.7100","5.6838","7631.03008","0.0000","-6.2912"
"2.7150","5.7359","7751.65272","0.0000","-6.7002"
"2.7200","5.7893","7853.93906","0.0000","-7.0907"
"2.7250","5.8431","7942.92068","0.0000","-7.4423"
"2.7300","5.8966","8026.98135","0.0000","-7.7626"
"2.7350","5.9495","8115.96107","0.0000","-8.0964"
"2.7400","6.0017","8214.73312","0.0000","-8.4378"
"2.7450","6.0532","8319.62776","0.0000","-8.7959"
"2.7500","6.1040","8424.28684","0.0000","-9.1719"
"2.7550","6.1542","8523.26012","0.0000","-9.5415"
"2.7600","6.2040","8612.69569","0.0000","-9.8737"
"2.7650","6.2534","8697.82448","0.0000","-10.1664"
"2.7700","6.3026","8782.61089","0.0000","-10.4397"
"2.7750","6.3516","8871.18244","0.0000","-10.7106"
"2.7800","6.4006","8961.44962","0.0000","-10.9951"
"2.7840","6.4397","9033.87356","0.0000","-11.2303"
"2.7850","6.4495","9051.83411","0.0000","-11.2897"
"5.2670","10.8679","13932.21283","0.0000","-24.6842"
"5.2720","10.8679","13927.23274","0.0000","-24.6437"
"5.2770","10.8680","13925.70305","0.0000","-24.6130"
"5.2820","10.8685","13929.10480","0.0000","-24.5811"
"5.2870","10.8701","13936.70082","0.0000","-24.5581"
"5.2920","10.8740","13946.13171","0.0000","-24.5724"
"5.2970","10.8818","13955.16872","0.0000","-24.6158"
"5.3020","10.8951","13966.70437","0.0000","-24.6861"
"5.3070","10.9152","13987.50114","0.0000","-24.8147"
"5.3120","10.9426","14033.73146","0.0000","-25.0211"
"5.3170","10.9773","14115.37361","0.0000","-25.3067"
"5.3220","11.0183","14231.44627","0.0000","-25.6457"
"5.3270","11.0643","14371.02795","0.0000","-26.0088"
"5.3320","11.1140","14516.07895","0.0000","-26.3687"
"5.3370","11.1661","14650.71678","0.0000","-26.7191"
"5.3420","11.2194","14769.53220","0.0000","-27.0660"
"5.3470","11.2730","14876.24550","0.0000","-27.3871"
"5.3520","11.3264","14979.59995","0.0000","-27.6988"
"5.3570","11.3793","15088.52291","0.0000","-28.0301"
"5.3620","11.4314","15203.39775","0.0000","-28.3778"
"5.3670","11.4828","15320.98961","0.0000","-28.7182"
"5.3720","11.5335","15437.83283","0.0000","-29.0417"
"5.3770","11.5837","15550.15564","0.0000","-29.3448"
"5.3820","11.6334","15655.51376","0.0000","-29.6331"
"5.3870","11.6829","15757.27940","0.0000","-29.8941"
"5.3920","11.7321","15861.15360","0.0000","-30.1293"
"5.3970","11.7812","15967.70668","0.0000","-30.3725"
"5.4020","11.8302","16076.05362","0.0000","-30.6333"
"5.4060","11.8694","16162.79030","0.0000","-30.8461"
"5.4070","11.8792","16183.95424","0.0000","-30.9049"
"7.8910","16.3005","19857.69463","0.0000","-35.5640"
"7.8960","16.3005","19855.10445","0.0000","-35.5578"
"7.9010","16.3006","19856.35757","0.0000","-35.5614"
"7.9060","16.3011","19859.73549","0.0000","-35.5521"
"7.9110","16.3027","19865.81993","0.0000","-35.5539"
"7.9160","16.3067","19872.43462","0.0000","-35.5795"
"7.9210","16.3144","19880.85938","0.0000","-35.6103"
"7.9260","16.3278","19893.48793","0.0000","-35.6318"
"7.9310","16.3479","19916.75186","0.0000","-35.6854"
"7.9360","16.3754","19966.32957","0.0000","-35.8081"
"7.9410","16.4101","20052.28233","0.0000","-35.9900"
"7.9460","16.4512","20174.95728","0.0000","-36.2272"
"7.9510","16.4974","20321.12503","0.0000","-36.4993"
"7.9560","16.5472","20472.56088","0.0000","-36.7837"
"7.9610","16.5995","20614.03275","0.0000","-37.0775"
"7.9660","16.6530","20739.49051","0.0000","-37.3548"
"7.9710","16.7068","20850.52490","0.0000","-37.5997"
"7.9760","16.7604","20956.19774","0.0000","-37.8337"
"7.9810","16.8134","21065.62996","0.0000","-38.0796"
"7.9860","16.8656","21183.53844","0.0000","-38.3401"
"7.9910","16.9171","21307.56569","0.0000","-38.6057"
"7.9960","16.9678","21431.71310","0.0000","-38.8738"
"8.0010","17.0179","21550.56572","0.0000","-39.1247"
"8.0060","17.0676","21660.05898","0.0000","-39.3493"
"8.0110","17.1170","21763.10539","0.0000","-39.5613"
"8.0160","17.1661","21866.50276","0.0000","-39.7569"
"8.0210","17.2151","21972.33009","0.0000","-39.9679"
"8.0260","17.2640","22080.29938","0.0000","-40.1960"
"8.0300","17.3031","22166.19301","0.0000","-40.3731"
"8.0310","17.3129","22187.36839","0.0000","-40.4169"
"10.5280","21.7329","24675.97961","0.0000","-38.0329"
"10.5330","21.7329","24671.95511","0.0000","-38.0029"
"10.5380","21.7330","24672.65129","0.0000","-37.9874"
"10.5430","21.7335","24678.08533","0.0000","-37.9619"
"10.5480","21.7351","24686.15341","0.0000","-37.9438"
"10.5530","21.7391","24693.37082","0.0000","-37.9542"
"10.5580","21.7470","24699.15962","0.0000","-37.9810"
"10.5630","21.7604","24709.13506","0.0000","-38.0030"
"10.5680","21.7806","24730.11589","0.0000","-38.0463"
"10.5730","21.8083","24777.60124","0.0000","-38.1469"
"10.5780","21.8432","24863.05428","0.0000","-38.2947"
"10.5830","21.8845","24983.65402","0.0000","-38.5132"
"10.5880","21.9308","25128.85666","0.0000","-38.7583"
"10.5930","21.9808","25281.31294","0.0000","-38.9923"
"10.5980","22.0331","25422.71233","0.0000","-39.1898"
"10.6030","22.0866","25545.81833","0.0000","-39.3741"
"10.6080","22.1404","25655.30205","0.0000","-39.5431"
"10.6130","22.1939","25759.08470","0.0000","-39.6970"
"10.6180","22.2468","25866.52756","0.0000","-39.8642"
"10.6230","22.2989","25980.93033","0.0000","-40.0395"
"10.6280","22.3503","26099.63417","0.0000","-40.1978"
"10.6330","22.4010","26217.37671","0.0000","-40.3570"
"10.6380","22.4511","26331.20537","0.0000","-40.5213"
"10.6430","22.5009","26439.16130","0.0000","-40.6813"
"10.6480","22.5503","26542.77229","0.0000","-40.8140"
"10.6530","22.5995","26645.17784","0.0000","-40.9296"
"10.6580","22.6485","26748.04878","0.0000","-41.0482"
"10.6630","22.6975","26851.03607","0.0000","-41.1859"
"10.6670","22.7366","26932.05833","0.0000","-41.3008"
"10.6680","22.7464","26952.01492","0.0000","-41.3283"
"13.1630","27.1658","28786.85760","0.0000","-35.0312"
"13.1680","27.1658","28778.06091","0.0000","-35.0562"
"13.1730","27.1659","28775.06065","0.0000","-35.0668"
"13.1780","27.1664","28778.42712","0.0000","-35.0627"
"13.1830","27.1681","28786.61919","0.0000","-35.0500"
"13.1880","27.1721","28796.60225","0.0000","-35.0201"
"13.1930","27.1800","28805.37605","0.0000","-34.9855"
"13.1980","27.1934","28813.97247","0.0000","-34.9677"
"13.2030","27.2136","28831.16150","0.0000","-34.9644"
"13.2080","27.2412","28872.99538","0.0000","-35.0062"
"13.2130","27.2760","28951.48087","0.0000","-35.1171"
"13.2180","27.3171","29064.39781","0.0000","-35.2752"
"13.2230","27.3634","29200.84763","0.0000","-35.4283"
"13.2280","27.4134","29343.53256","0.0000","-35.5742"
"13.2330","27.4658","29477.02408","0.0000","-35.6980"
"13.2380","27.5194","29595.38269","0.0000","-35.7977"
"13.2430","27.5732","29700.51193","0.0000","-35.8743"
"13.2480","27.6269","29797.46628","0.0000","-35.9428"
"13.2530","27.6799","29895.95604","0.0000","-36.0108"
"13.2580","27.7321","30001.48773","0.0000","-36.0807"
"13.2630","27.7836","30110.90660","0.0000","-36.1421"
"13.2680","27.8344","30221.01784","0.0000","-36.2311"
"13.2730","27.8846","30326.70212","0.0000","-36.3252"
"13.2780","27.9343","30426.14365","0.0000","-36.3863"
"13.2830","27.9836","30520.21408","0.0000","-36.4293"
"13.2880","28.0328","30614.05563","0.0000","-36.4609"
"13.2930","28.0817","30710.47401","0.0000","-36.5050"
"13.2980","28.1306","30806.07033","0.0000","-36.5786"
"13.3020","28.1696","30881.38008","0.0000","-36.6471"
"13.3030","28.1794","30899.94812","0.0000","-36.6643"
"15.7910","32.5988","33005.00488","0.0000","-30.0793"
"15.7960","32.5988","33001.06812","0.0000","-30.0946"
"15.8010","32.5989","32998.61145","0.0000","-30.1111"
"15.8060","32.5995","32998.60382","0.0000","-30.1219"
"15.8110","32.6011","33003.07465","0.0000","-30.1189"
"15.8160","32.6051","33010.18906","0.0000","-30.1174"
"15.8210","32.6131","33020.37048","0.0000","-30.1222"
"15.8260","32.6266","33035.44998","0.0000","-30.1172"
"15.8310","32.6469","33061.26022","0.0000","-30.1038"
"15.8360","32.6745","33112.37335","0.0000","-30.1006"
"15.8410","32.7093","33199.21875","0.0000","-30.1537"
"15.8460","32.7504","33319.11087","0.0000","-30.2517"
"15.8510","32.7966","33458.40073","0.0000","-30.3712"
"15.8560","32.8465","33601.39084","0.0000","-30.4813"
"15.8610","32.8986","33735.30960","0.0000","-30.5514"
"15.8660","32.9521","33854.65622","0.0000","-30.5935"
"15.8710","33.0058","33964.29825","0.0000","-30.6239"
"15.8760","33.0594","34071.84601","0.0000","-30.6498"
"15.8810","33.1123","34184.38339","0.0000","-30.7049"
"15.8860","33.1645","34305.24445","0.0000","-30.7897"
"15.8910","33.2159","34432.64771","0.0000","-30.8833"
"15.8960","33.2666","34558.64334","0.0000","-30.9873"
"15.9010","33.3167","34678.09677","0.0000","-31.0882"
"15.9060","33.3664","34790.51971","0.0000","-31.1635"
"15.9110","33.4157","34898.90289","0.0000","-31.2117"
"15.9160","33.4648","35007.94983","0.0000","-31.2707"
"15.9210","33.5138","35118.52264","0.0000","-31.3386"
"15.9260","33.5627","35231.57883","0.0000","-31.4125"
"15.9300","33.6018","35321.73920","0.0000","-31.4832"
"15.9310","33.6116","35343.84537","0.0000","-31.4988"
"24.2820","0.0007","-6867.05732","-9.6849","54.5940"
"24.2870","0.0007","-6861.54938","-9.6849","54.5970"
"24.2920","0.0009","-6850.66509","-9.6849","54.5876"
"24.2970","0.0017","-6832.29065","-9.6849","54.5578"
"24.3020","0.0043","-6811.17105","-9.6849","54.4989"
"24.3070","0.0105","-6790.59362","-9.6849","54.3959"
"24.3120","0.0221","-6768.25809","-9.6849","54.2175"
"24.3170","0.0404","-6733.76513","-9.6849","53.9426"
"24.3220","0.0663","-6674.08276","-9.6849","53.5601"
"24.3270","0.0996","-6574.96929","-9.6849","53.0812"
"24.3320","0.1397","-6436.21016","-9.6849","52.5232"
"24.3370","0.1852","-6272.65596","-9.6849","51.9062"
"24.3420","0.2347","-6102.72169","-9.6849","51.2791"
"24.3470","0.2867","-5942.92450","-9.6849","50.6692"
"24.3520","0.3402","-5802.49929","-9.6849","50.0839"
"24.3570","0.3940","-5679.66938","-9.6849","49.5340"
"24.3620","0.4476","-5565.46354","-9.6849","49.0496"
