Results Table 1


Results Table 2


1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
2,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
"","0.0000","-0.0006","2031.26693","0.0000","29.6658"
"","0.0050","-0.0006","2030.48277","0.0000","29.6445"
"","0.0100","-0.0005","2034.74450","0.0000","29.5985"
"","0.0150","0.0001","2046.80729","0.0000","29.5585"
"","0.0200","0.0019","2071.26474","0.0000","29.4977"
"","0.0250","0.0062","2114.91442","0.0000","29.3672"
"","0.0300","0.0145","2185.95052","0.0000","29.1678"
"","0.0350","0.0284","2290.86661","0.0000","28.8651"
"","0.0400","0.0492","2436.89585","0.0000","28.4718"
"","0.0450","0.0774","2636.10649","0.0000","28.0140"
"","0.0500","0.1128","2892.97938","0.0000","27.4657"
"","0.0550","0.1544","3199.72849","0.0000","26.8332"
"","0.0600","0.2011","3535.95686","0.0000","26.1658"
"","0.0650","0.2514","3878.63374","0.0000","25.5119"
"","0.0700","0.3039","4207.36694","0.0000","24.8742"
"","0.0750","0.3575","4511.83748","0.0000","24.2587"
"","0.0800","0.4114","4792.52434","0.0000","23.6944"
"","0.0850","0.4649","5053.19643","0.0000","23.1739"
"","0.0900","0.5179","5304.23260","0.0000","22.6551"
"","0.0950","0.5700","5549.83854","0.0000","22.1349"
"","0.1000","0.6213","5787.22143","0.0000","21.6368"
"","0.1050","0.6720","6012.30192","0.0000","21.1307"
"","0.1100","0.7220","6222.51701","0.0000","20.6372"
"","0.1150","0.7716","6417.62257","0.0000","20.1871"
"","0.1200","0.8208","6599.84732","0.0000","19.7745"
"","0.1250","0.8699","6773.91434","0.0000","19.3872"
"","0.1300","0.9188","6942.48104","0.0000","19.0357"
"","0.1350","0.9677","7105.27086","0.0000","18.7088"
"","0.1390","1.0068","7230.16787","0.0000","18.4385"
"","0.1400","1.0166","7260.42366","0.0000","18.3693"
"","2.6450","5.4363","15287.69875","0.0000","-7.1279"
"","2.6500","5.4363","15287.10079","0.0000","-7.1296"
"","2.6550","5.4364","15289.82544","0.0000","-7.1451"
"","2.6600","5.4369","15296.41342","0.0000","-7.1613"
"","2.6650","5.4385","15307.68204","0.0000","-7.1766"
"","2.6700","5.4425","15321.27953","0.0000","-7.2067"
"","2.6750","5.4503","15337.48436","0.0000","-7.2776"
"","2.6800","5.4636","15358.78754","0.0000","-7.3846"
"","2.6850","5.4836","15394.46545","0.0000","-7.5822"
"","2.6900","5.5111","15460.65998","0.0000","-7.9028"
"","2.6950","5.5456","15567.54398","0.0000","-8.3193"
"","2.7000","5.5865","15710.51598","0.0000","-8.7964"
"","2.7050","5.6325","15876.63746","0.0000","-9.3198"
"","2.7100","5.6822","16047.88589","0.0000","-9.8679"
"","2.7150","5.7342","16208.58002","0.0000","-10.4019"
"","2.7200","5.7875","16352.39983","0.0000","-10.9121"
"","2.7250","5.8412","16482.02133","0.0000","-11.3902"
"","2.7300","5.8947","16604.57039","0.0000","-11.8227"
"","2.7350","5.9476","16726.83334","0.0000","-12.2438"
"","2.7400","5.9999","16851.85814","0.0000","-12.6722"
"","2.7450","6.0513","16974.50066","0.0000","-13.0761"
"","2.7500","6.1021","17086.28845","0.0000","-13.4479"
"","2.7550","6.1524","17175.38834","0.0000","-13.7451"
"","2.7600","6.2021","17246.08994","0.0000","-13.9773"
"","2.7650","6.2515","17308.85124","0.0000","-14.1669"
"","2.7700","6.3008","17374.99619","0.0000","-14.3501"
"","2.7750","6.3498","17453.21083","0.0000","-14.5793"
"","2.7800","6.3989","17542.73224","0.0000","-14.8719"
"","2.7840","6.4381","17618.38531","0.0000","-15.1222"
"","2.7850","6.4479","17637.89177","0.0000","-15.1863"
"","5.2790","10.8685","25272.44186","0.0000","-38.0246"
"","5.2840","10.8685","25269.33098","0.0000","-38.0172"
"","5.2890","10.8686","25270.21217","0.0000","-38.0163"
"","5.2940","10.8691","25276.55029","0.0000","-38.0037"
"","5.2990","10.8708","25288.73825","0.0000","-38.0080"
"","5.3040","10.8747","25304.44908","0.0000","-38.0482"
"","5.3090","10.8826","25323.39478","0.0000","-38.1160"
"","5.3140","10.8961","25348.15979","0.0000","-38.1999"
"","5.3190","10.9164","25388.73482","0.0000","-38.3480"
"","5.3240","10.9441","25459.91135","0.0000","-38.5918"
"","5.3290","10.9790","25572.62230","0.0000","-38.9330"
"","5.3340","11.0202","25725.32082","0.0000","-39.3646"
"","5.3390","11.0664","25904.22630","0.0000","-39.8347"
"","5.3440","11.1163","26091.26663","0.0000","-40.3193"
"","5.3490","11.1685","26270.16640","0.0000","-40.8023"
"","5.3540","11.2219","26433.65860","0.0000","-41.2739"
"","5.3590","11.2757","26583.39119","0.0000","-41.7188"
"","5.3640","11.3292","26725.82054","0.0000","-42.1258"
"","5.3690","11.3821","26870.24879","0.0000","-42.5367"
"","5.3740","11.4343","27021.09337","0.0000","-42.9594"
"","5.3790","11.4858","27174.99733","0.0000","-43.3609"
"","5.3840","11.5365","27325.89340","0.0000","-43.7548"
"","5.3890","11.5867","27470.70503","0.0000","-44.1422"
"","5.3940","11.6364","27608.56247","0.0000","-44.5238"
"","5.3990","11.6858","27741.91856","0.0000","-44.8580"
"","5.4040","11.7349","27874.96758","0.0000","-45.1800"
"","5.4090","11.7839","28009.06372","0.0000","-45.5226"
"","5.4140","11.8328","28142.96150","0.0000","-45.8839"
"","5.4180","11.8720","28249.23134","0.0000","-46.1736"
"","5.4190","11.8818","28275.48599","0.0000","-46.2414"
"","7.9220","16.3012","35496.33408","0.0000","-61.4367"
"","7.9270","16.3012","35492.58804","0.0000","-61.4028"
"","7.9320","16.3013","35490.78369","0.0000","-61.3832"
"","7.9370","16.3019","35494.03000","0.0000","-61.3648"
"","7.9420","16.3035","35502.62833","0.0000","-61.3610"
"","7.9470","16.3075","35515.65552","0.0000","-61.3986"
"","7.9520","16.3154","35534.47723","0.0000","-61.4525"
"","7.9570","16.3288","35563.86185","0.0000","-61.5252"
"","7.9620","16.3491","35612.84637","0.0000","-61.6386"
"","7.9670","16.3768","35697.48306","0.0000","-61.8565"
"","7.9720","16.4116","35826.08414","0.0000","-62.1853"
"","7.9770","16.4528","35994.93790","0.0000","-62.5809"
"","7.9820","16.4990","36191.26129","0.0000","-63.0102"
"","7.9870","16.5488","36396.07239","0.0000","-63.4551"
"","7.9920","16.6010","36591.50696","0.0000","-63.8891"
"","7.9970","16.6544","36770.49255","0.0000","-64.2806"
"","8.0020","16.7082","36936.95068","0.0000","-64.6413"
"","8.0070","16.7617","37098.36578","0.0000","-64.9871"
"","8.0120","16.8146","37262.42828","0.0000","-65.3257"
"","8.0170","16.8668","37432.46460","0.0000","-65.6734"
"","8.0220","16.9183","37603.33633","0.0000","-66.0409"
"","8.0270","16.9691","37768.77975","0.0000","-66.4101"
"","8.0320","17.0193","37927.42157","0.0000","-66.7678"
"","8.0370","17.0690","38077.39258","0.0000","-67.1046"
"","8.0420","17.1184","38221.27533","0.0000","-67.4279"
"","8.0470","17.1676","38363.75427","0.0000","-67.7154"
"","8.0520","17.2167","38508.40378","0.0000","-67.9992"
"","8.0570","17.2657","38655.00641","0.0000","-68.3062"
"","8.0610","17.3049","38772.07947","0.0000","-68.5391"
"","8.0620","17.3147","38801.16272","0.0000","-68.6011"
"","10.5710","21.7348","44521.75522","0.0000","-73.2443"
"","10.5760","21.7348","44516.30020","0.0000","-73.2435"
"","10.5810","21.7349","44513.70239","0.0000","-73.2425"
"","10.5860","21.7354","44515.55252","0.0000","-73.2378"
"","10.5910","21.7370","44523.31924","0.0000","-73.2403"
"","10.5960","21.7408","44535.00366","0.0000","-73.2501"
"","10.6010","21.7486","44552.57416","0.0000","-73.2835"
"","10.6060","21.7619","44582.71027","0.0000","-73.3381"
"","10.6110","21.7820","44634.52530","0.0000","-73.4224"
"","10.6160","21.8095","44723.42682","0.0000","-73.5767"
"","10.6210","21.8443","44859.56192","0.0000","-73.8436"
"","10.6260","21.8854","45041.58783","0.0000","-74.1792"
"","10.6310","21.9315","45254.55093","0.0000","-74.5223"
"","10.6360","21.9814","45479.01154","0.0000","-74.8756"
"","10.6410","22.0336","45695.31631","0.0000","-75.2197"
"","10.6460","22.0870","45892.36832","0.0000","-75.5311"
"","10.6510","22.1407","46072.92557","0.0000","-75.8160"
"","10.6560","22.1942","46244.22455","0.0000","-76.0840"
"","10.6610","22.2471","46416.30554","0.0000","-76.3515"
"","10.6660","22.2993","46594.87152","0.0000","-76.6402"
"","10.6710","22.3507","46776.80206","0.0000","-76.9347"
"","10.6760","22.4015","46956.93970","0.0000","-77.2403"
"","10.6810","22.4517","47130.29861","0.0000","-77.5281"
"","10.6860","22.5015","47293.49899","0.0000","-77.8061"
"","10.6910","22.5510","47449.19205","0.0000","-78.0540"
"","10.6960","22.6002","47599.61700","0.0000","-78.2650"
"","10.7010","22.6492","47749.64142","0.0000","-78.4702"
"","10.7060","22.6982","47899.06311","0.0000","-78.6800"
"","10.7100","22.7374","48017.80319","0.0000","-78.8676"
"","10.7110","22.7472","48047.47391","0.0000","-78.9125"
"","13.2130","27.1660","48650.42496","0.0000","-65.2065"
"","13.2180","27.1660","48640.59830","0.0000","-65.1683"
"","13.2230","27.1661","48633.99506","0.0000","-65.1410"
"","13.2280","27.1666","48632.19452","0.0000","-65.1260"
"","13.2330","27.1683","48636.74545","0.0000","-65.1220"
"","13.2380","27.1723","48647.05276","0.0000","-65.1300"
"","13.2430","27.1803","48663.65051","0.0000","-65.1578"
"","13.2480","27.1939","48690.28091","0.0000","-65.1902"
"","13.2530","27.2143","48734.48944","0.0000","-65.2284"
"","13.2580","27.2421","48810.48584","0.0000","-65.3072"
"","13.2630","27.2771","48927.51694","0.0000","-65.4495"
"","13.2680","27.3184","49084.24759","0.0000","-65.6349"
"","13.2730","27.3647","49266.17432","0.0000","-65.8325"
"","13.2780","27.4147","49453.67050","0.0000","-66.0196"
"","13.2830","27.4670","49631.95038","0.0000","-66.1971"
"","13.2880","27.5205","49794.66248","0.0000","-66.3479"
"","13.2930","27.5743","49942.78336","0.0000","-66.4747"
"","13.2980","27.6277","50081.76422","0.0000","-66.5937"
"","13.3030","27.6806","50219.30313","0.0000","-66.7303"
"","13.3080","27.7327","50360.48126","0.0000","-66.8766"
"","13.3130","27.7841","50501.70517","0.0000","-66.9866"
"","13.3180","27.8347","50638.83972","0.0000","-67.0796"
"","13.3230","27.8848","50768.79120","0.0000","-67.1694"
"","13.3280","27.9345","50891.83807","0.0000","-67.2463"
"","13.3330","27.9839","51011.33728","0.0000","-67.3043"
"","13.3380","28.0331","51131.29044","0.0000","-67.3361"
"","13.3430","28.0821","51253.37982","0.0000","-67.3906"
"","13.3480","28.1311","51375.92316","0.0000","-67.4800"
"","13.3520","28.1703","51472.96524","0.0000","-67.5631"
"","13.3530","28.1801","51496.80328","0.0000","-67.5834"
"","15.8480","32.6003","50137.71820","0.0000","-49.1070"
"","15.8530","32.6003","50131.27136","0.0000","-49.1062"
"","15.8580","32.6004","50129.77982","0.0000","-49.1180"
"","15.8630","32.6009","50132.21359","0.0000","-49.1329"
"","15.8680","32.6026","50141.76178","0.0000","-49.1526"
"","15.8730","32.6066","50159.70993","0.0000","-49.1902"
"","15.8780","32.6145","50187.22916","0.0000","-49.2461"
"","15.8830","32.6280","50222.96143","0.0000","-49.3000"
"","15.8880","32.6482","50265.17105","0.0000","-49.3079"
"","15.8930","32.6757","50319.18335","0.0000","-49.2942"
"","15.8980","32.7104","50394.40918","0.0000","-49.2744"
"","15.9030","32.7514","50491.84799","0.0000","-49.2315"
"","15.9080","32.7974","50602.63062","0.0000","-49.1669"
"","15.9130","32.8472","50713.52386","0.0000","-49.1043"
"","15.9180","32.8994","50812.62970","0.0000","-49.0183"
"","15.9230","32.9528","50895.54977","0.0000","-48.9098"
"","15.9280","33.0065","50972.26715","0.0000","-48.7878"
"","15.9330","33.0601","51052.09351","0.0000","-48.6832"
"","15.9380","33.1131","51138.87024","0.0000","-48.6055"
"","15.9430","33.1654","51236.44638","0.0000","-48.5627"
"","15.9480","33.2169","51344.32983","0.0000","-48.5378"
"","15.9530","33.2677","51455.73044","0.0000","-48.5173"
"","15.9580","33.3178","51563.36212","0.0000","-48.4926"
"","15.9630","33.3676","51667.76276","0.0000","-48.4616"
"","15.9680","33.4170","51771.56448","0.0000","-48.4512"
"","15.9730","33.4661","51879.64630","0.0000","-48.4591"
"","15.9780","33.5152","51993.17551","0.0000","-48.4901"
"","15.9830","33.5642","52110.39734","0.0000","-48.5306"
"","15.9870","33.6034","52205.26886","0.0000","-48.5789"
"","15.9880","33.6132","52229.03824","0.0000","-48.5948"
"","24.3230","0.0008","-3471.13514","-9.6543","64.3826"
"","24.3280","0.0008","-3465.31749","-9.6543","64.3585"
"","24.3330","0.0009","-3451.45273","-9.6543","64.3106"
"","24.3380","0.0017","-3426.92947","-9.6543","64.2421"
"","24.3430","0.0044","-3393.80741","-9.6543","64.1667"
"","24.3480","0.0107","-3350.50845","-9.6543","64.0557"
"","24.3530","0.0223","-3289.62684","-9.6543","63.8829"
"","24.3580","0.0406","-3200.60182","-9.6543","63.6364"
"","24.3630","0.0666","-3071.64764","-9.6543","63.2898"
"","24.3680","0.0999","-2891.51239","-9.6543","62.8104"
"","24.3730","0.1400","-2661.79395","-9.6543","62.2220"
"","24.3780","0.1855","-2399.55831","-9.6543","61.5809"
"","24.3830","0.2350","-2129.49204","-9.6543","60.9432"
"","24.3880","0.2870","-1871.96386","-9.6543","60.3125"
"","24.3930","0.3405","-1637.27748","-9.6543","59.7090"
"","24.3980","0.3943","-1425.12202","-9.6543","59.1407"
"","24.4030","0.4479","-1226.84765","-9.6543","58.5941"
"","24.4080","0.5009","-1035.72869","-9.6543","58.0634"
"","24.4130","0.5531","-848.18560","-9.6543","57.5271"
"","24.4180","0.6046","-664.08080","-9.6543","57.0070"
"","24.4230","0.6553","-488.53394","-9.6543","56.5202"
"","24.4280","0.7054","-325.86655","-9.6543","56.0419"
"","24.4330","0.7550","-175.12444","-9.6543","55.5699"
"","24.4380","0.8043","-33.49438","-9.6543","55.1317"
"","24.4430","0.8534","103.99364","-9.6543","54.7259"
"","24.4480","0.9023","240.96693","-9.6543","54.3358"
"","24.4530","0.9513","379.90239","-9.6543","53.9246"
"","24.4580","1.0002","514.96077","-9.6543","53.5013"
"","24.4590","1.0100","540.80045","-9.6543","53.4166"
"","24.4600","1.0198","566.31529","-9.6543","53.3309"
"","26.9590","5.4409","8854.21467","-9.6543","20.3742"
"","26.9640","5.4409","8854.57134","-9.6543","20.4027"
"","26.9690","5.4410","8857.94830","-9.6543","20.4059"
"","26.9740","5.4415","8863.49773","-9.6543","20.4032"
"","26.9790","5.4431","8872.83039","-9.6543","20.4002"
"","26.9840","5.4471","8883.23689","-9.6543","20.3708"
"","26.9890","5.4550","8894.54556","-9.6543","20.3048"
"","26.9940","5.4684","8910.16579","-9.6543","20.2065"
"","26.9990","5.4886","8938.46512","-9.6543","20.0440"
"","27.0040","5.5162","8995.81146","-9.6543","19.7984"
"","27.0090","5.5509","9091.28475","-9.6543","19.4472"
"","27.0140","5.5919","9223.46497","-9.6543","18.9977"
"","27.0190","5.6380","9378.41320","-9.6543","18.4869"
"","27.0240","5.6877","9535.36606","-9.6543","17.9502"
"","27.0290","5.7398","9680.54867","-9.6543","17.4236"
"","27.0340","5.7932","9808.12454","-9.6543","16.9161"
"","27.0390","5.8468","9922.86205","-9.6543","16.4233"
"","27.0440","5.9003","10033.83636","-9.6543","15.9476"
"","27.0490","5.9533","10149.88518","-9.6543","15.4670"
"","27.0540","6.0055","10274.52087","-9.6543","14.9839"
"","27.0590","6.0570","10403.62740","-9.6543","14.5076"
"","27.0640","6.1078","10532.21416","-9.6543","14.0463"
"","27.0690","6.1581","10653.07808","-9.6543","13.5882"
"","27.0740","6.2079","10764.60075","-9.6543","13.1369"
"","27.0790","6.2573","10871.13094","-9.6543","12.7209"
"","27.0840","6.3065","10976.23920","-9.6543","12.3506"
"","27.0890","6.3556","11084.85126","-9.6543","11.9816"
